brand,model,varient,year,fuel,transmission,km,price,registration,location
Mahindra,Thar,LX D 4*4 MT HT,2021,Diesel,Manual,25772,940000,DL,new-delhi
Hyundai,Verna,1.6 VTVT SX,2017,Petrol,Manual,51750,493000,DL,new-delhi
Volkswagen,VIRTUS,COMFORTLINE TSI 1.0 MT,2022,Petrol,Manual,47478,691000,DL,new-delhi
Mahindra,Bolero,B6,2023,Diesel,Manual,29109,683000,DL,new-delhi
Datsun,Redi Go,A,2019,Petrol,Manual,28989,161000,DL,new-delhi
Maruti,Swift,LXI,2019,Petrol,Manual,31645,388000,DL,new-delhi
Maruti,Grand Vitara,SIGMA SMART HYBRID,2024,Petrol,Manual,29719,910000,DL,new-delhi
Nissan,MAGNITE,XL,2021,Petrol,Manual,33742,434999,DL,new-delhi
Hyundai,Elite i20,MAGNA PLUS 1.2,2019,Petrol,Manual,49766,436000,DL,new-delhi
Hyundai,NEW I20,SPORTZ 1.2 MT,2021,Petrol,Manual,40009,519000,DL,new-delhi
Hyundai,VENUE,S 1.2,2023,Petrol,Manual,30571,675000,DL,new-delhi
MG,HECTOR,SMART HYBRID 1.5 PETROL,2019,Petrol,Manual,59391,813000,DL,new-delhi
Renault,Kwid,RXT 0.8,2016,Petrol,Manual,51969,160000,DL,new-delhi
Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2023,CNG,Manual,31918,565000,DL,new-delhi
Ford,Ecosport,TITANIUM 1.5L PETROL,2016,Petrol,Manual,63038,400000,DL,new-delhi
Hyundai,Creta,SX PLUS 1.6 PETROL,2016,Petrol,Manual,60380,413999,DL,new-delhi
Maruti,Swift,VXI,2024,Petrol,Manual,14906,577000,DL,new-delhi
Tata,NEXON,XM PETROL,2019,CNG,Manual,77136,463999,DL,new-delhi
Maruti,Alto,LXI O,2023,Petrol,Manual,23353,296000,DL,new-delhi
Maruti,Celerio,VXI (O) CNG,2019,CNG,Manual,85350,329000,HR,new-delhi
Maruti,New Wagon-R,VXI (O) 1.2,2019,Petrol,Manual,74374,324000,HR,new-delhi
Hyundai,NEW SANTRO,SPORTZ EXECUTIVE MT CNG,2022,CNG,Manual,91678,382000,HR,new-delhi
Maruti,Ertiga,VXI (O) CNG,2024,CNG,Manual,18586,939000,HR,new-delhi
Datsun,Go,REMIX EDITION,2018,Petrol,Manual,100023,155000,DL,new-delhi
Maruti,Swift,VXi,2024,Petrol,Manual,42012,554000,HR,new-delhi
Tata,PUNCH,PURE MT CNG,2023,CNG,Manual,35762,580000,HR,new-delhi
Honda,Civic,1.8L I-VTEC ZX CVT,2019,Petrol,Auto,91157,969000,DL,new-delhi
Maruti,Baleno,SIGMA PETROL 1.2,2023,Petrol,Manual,47454,480000,HR,new-delhi
Tata,PUNCH,ADVENTURE MT,2023,Petrol,Manual,46004,484000,UP,new-delhi
Hyundai,Verna,1.4 E PETROL,2018,Petrol,Manual,24938,512000,DL,new-delhi
Volkswagen,Polo,TRENDLINE 1.0L,2020,Petrol,Manual,33751,386000,DL,new-delhi
Datsun,Redi Go,D,2017,Petrol,Manual,8468,134000,UP,new-delhi
Mahindra,Scorpio,S7,2019,Diesel,Manual,35267,897000,HR,new-delhi
Renault,Kwid,RXL,2017,Petrol,Manual,75770,165000,HR,new-delhi
Maruti,Baleno,SIGMA PETROL 1.2,2015,Petrol,Manual,53068,258000,UP,new-delhi
Maruti,Alto 800,LXI,2016,Petrol,Manual,55869,148000,HR,new-delhi
Tata,NEXON,XE PETROL,2018,Petrol,Manual,72470,337000,DL,new-delhi
Renault,Kiger,RXZ MT DUAL TONE,2021,Petrol,Manual,49896,358000,HR,new-delhi
Hyundai,VENUE,S 1.2,2021,Petrol,Manual,17438,532000,DL,new-delhi
Skoda,SLAVIA,AMBITION 1.0L TSI AT,2022,Petrol,Auto,36805,851000,DL,new-delhi
Hyundai,Verna,SX 1.5 VTVT,2021,Petrol,Manual,37722,780000,UP,new-delhi
Maruti,Swift,VXI,2024,Petrol,Manual,26435,558000,HR,new-delhi
Nissan,MAGNITE,XV RED EDITION,2022,Petrol,Manual,66035,449000,HR,new-delhi
Maruti,Alto 800,LXI,2017,Petrol,Manual,29611,181000,HR,new-delhi
Maruti,Alto 800,LXI,2018,Petrol,Manual,48820,213000,UP,new-delhi
Nissan,MAGNITE,XL,2021,Petrol,Manual,43428,426999,HR,new-delhi
Honda,Civic,1.8L I-VTEC VX CVT,2019,Petrol,Auto,70935,990000,HR,new-delhi
Honda,Amaze,1.2L I-VTEC S,2019,Petrol,Manual,26001,384000,HR,new-delhi
Honda,City,1.5L I-VTEC V MT,2018,Petrol,Manual,25484,537000,DL,new-delhi
Tata,Tiago,XT PETROL,2019,Petrol,Manual,85935,270000,HR,new-delhi
Maruti,Vitara Brezza,ZXI PLUS DUAL TONE,2021,Petrol,Manual,82149,604000,UP,new-delhi
Maruti,Alto K10,LXI,2023,Petrol,Manual,44139,289000,UP,new-delhi
Toyota,Corolla Altis,VL CVT PETROL,2016,Petrol,Auto,90628,561000,HR,new-delhi
Maruti,Baleno,ZETA PETROL 1.2,2016,Petrol,Manual,95828,353000,DL,new-delhi
Nissan,MAGNITE,XE,2023,Petrol,Manual,60570,400000,HR,new-delhi
Maruti,Swift,VXI,2018,Petrol,Manual,64451,361000,HR,new-delhi
Renault,TRIBER,RXT,2021,Petrol,Manual,73382,336000,HR,new-delhi
Honda,City,1.5L I-VTEC V MT,2018,Petrol,Manual,48398,469000,HR,new-delhi
Hyundai,Creta,E PLUS 1.6 PETROL,2019,Petrol,Manual,49271,507000,UP,new-delhi
Hyundai,Elite i20,MAGNA PLUS 1.2,2020,Petrol,Manual,27711,409999,HR,new-delhi
Hyundai,NEW SANTRO,SPORTZ AMT,2019,Petrol,Auto,62884,299000,UP,new-delhi
KIA,SELTOS,HTK 1.5 PETROL,2020,Petrol,Manual,69741,656000,UP,new-delhi
Datsun,Redi Go,T(O) 1.0,2017,Petrol,Manual,34713,168000,HR,new-delhi
Tata,Tiago,XT (O) PETROL,2023,Petrol,Manual,33567,363000,HR,new-delhi
Hyundai,VENUE,S 1.2,2021,Petrol,Manual,53312,544000,UP,new-delhi
Jeep,Compass,LIMITED 1.4 PETROL AT,2018,Petrol,Auto,51731,692000,HR,new-delhi
Datsun,Redi Go,T,2020,Petrol,Manual,25838,199000,HR,new-delhi
Hyundai,Verna,1.6 VTVT SX + AT,2019,Petrol,Auto,51996,712000,HR,new-delhi
Renault,Kwid,RXT 1.0,2016,Petrol,Manual,54982,158000,DL,new-delhi
Tata,ALTROZ,XE PETROL,2022,Petrol,Manual,45910,397000,HR,new-delhi
Nissan,MAGNITE,XV MT,2022,Petrol,Manual,47499,469000,UP,new-delhi
Hyundai,VENUE,S 1.0 TURBO MT,2019,Petrol,Manual,51715,413999,DL,new-delhi
Maruti,Swift,LXI (O),2016,Petrol,Manual,58243,248000,DL,new-delhi
Renault,TRIBER,RXZ,2020,Petrol,Manual,39612,328000,HR,new-delhi
Renault,Kiger,RXT (O) MT,2023,Petrol,Manual,23310,470000,DL,new-delhi
Tata,PUNCH,CREATIVE  AMT,2022,Petrol,Auto,45325,501999,DL,new-delhi
KIA,SELTOS,HTE 1.5 DIESEL,2021,Diesel,Manual,60187,705000,DL,new-delhi
Maruti,Alto 800,LXI,2019,CNG,Manual,45382,245000,HR,new-delhi
Tata,NEXON,XT PLUS PETROL,2019,Petrol,Manual,41306,445000,UP,new-delhi
Renault,Duster,RXL PETROL,2015,Petrol,Manual,51800,233000,UP,new-delhi
Ford,Figo Aspire,TITANIUM 1.2 PETROL,2017,Petrol,Manual,58060,309000,HR,new-delhi
Tata,Harrier,XM 2.0L KRYOTEC,2022,Diesel,Manual,38989,928999,HR,new-delhi
Ford,Ecosport,AMBIENTE 1.5L PETROL,2016,Petrol,Manual,50410,283000,DL,new-delhi
Hyundai,VENUE,S 1.0 TURBO IMT,2021,Petrol,Manual,72545,638000,HR,new-delhi
Maruti,S PRESSO,VXI+,2023,Petrol,Manual,65750,309000,UP,new-delhi
Volkswagen,Polo,TRENDLINE 1.2L PETROL,2018,Petrol,Manual,70837,326000,DL,new-delhi
Toyota,YARIS,J MT,2018,Petrol,Manual,32291,450000,UP,new-delhi
Maruti,Alto K10,LXi(O),2025,Petrol,Manual,6308,352000,HR,new-delhi
Mahindra,XUV 3XO,MX3 1.5 Turbo Diesel Autoshift Plus,2024,Diesel,Auto,14747,881000,HR,new-delhi
KIA,SELTOS,HTK PLUS 1.5,2020,Petrol,Manual,71471,671000,HR,new-delhi
Tata,NEXON,XM PETROL,2020,Petrol,Manual,27363,470000,DL,new-delhi
Maruti,Alto K10,VXI,2015,Petrol,Manual,77292,152000,HR,new-delhi
Maruti,Wagon R 1.0,VXI,2018,Petrol,Manual,57338,231000,HR,new-delhi
Honda,Amaze,1.2L I-VTEC S OPT,2018,Petrol,Manual,62085,391000,HR,new-delhi
Tata,PUNCH,ACCOMPLISHED MT,2022,Petrol,Manual,40265,479000,HR,new-delhi
Datsun,Go,T(O),2020,Petrol,Manual,70667,267000,HR,new-delhi
Maruti,Baleno,ALPHA PETROL 1.2,2023,Petrol,Manual,38883,636000,UP,new-delhi
Ford,FREESTYLE,TREND PLUS 1.2 PETROL,2018,Petrol,Manual,69793,282000,UP,new-delhi
Hyundai,Creta,SX 1.5 PETROL,2022,Petrol,Manual,85647,856000,HR,new-delhi
Honda,WR-V,1.5L I-DTEC SV MT,2021,Diesel,Manual,68250,551000,HR,new-delhi
Hyundai,Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,2018,Petrol,Manual,45670,288000,HR,new-delhi
Tata,ALTROZ,XZ PETROL,2022,Petrol,Manual,33014,497000,UP,new-delhi
Tata,TIGOR,XE PETROL,2023,Petrol,Manual,42455,380000,HR,new-delhi
Honda,Amaze,1.2L I-VTEC S,2019,Petrol,Manual,73310,384000,UP,new-delhi
Honda,Amaze,1.2L I-VTEC E,2019,Petrol,Manual,70348,356000,UP,new-delhi
KIA,SONET,GTX PLUS 1.0 DCT,2021,Petrol,Auto,45633,769000,UP,new-delhi
