car,varient,km,fuel,transmission,registration,price,location
2021 Mahindra Thar, LX D 4*4 MT HT,"25,772 km",Diesel,Manual,DL-7C,₹9.40 lakh,new-delhi
2017 Hyundai Verna, 1.6 VTVT SX,"51,750 km",Petrol,Manual,DL-5C,₹4.93 lakh,new-delhi
2022 Volkswagen VIRTUS, COMFORTLINE TSI 1.0 MT,"47,478 km",Petrol,Manual,DL-7C,₹6.91 lakh,new-delhi
2023 Mahindra Bolero, B6,"29,109 km",Diesel,Manual,DL-3C,₹6.83 lakh,new-delhi
2019 Datsun Redi Go, A,"28,989 km",Petrol,Manual,DL-9C,₹1.61 lakh,new-delhi
2019 Maruti Swift, LXI,"31,645 km",Petrol,Manual,DL-9C,₹3.88 lakh,new-delhi
2024 Maruti Grand Vitara, SIGMA SMART HYBRID,"29,719 km",Petrol,Manual,DL-3C,₹9.10 lakh,new-delhi
2021 Nissan MAGNITE, XL,"33,742 km",Petrol,Manual,DL-7C,₹4.35 lakh,new-delhi
2019 Hyundai Elite i20, MAGNA PLUS 1.2,"49,766 km",Petrol,Manual,DL-10,₹4.36 lakh,new-delhi
2021 Hyundai NEW I20, SPORTZ 1.2 MT,"40,009 km",Petrol,Manual,DL-12,₹5.19 lakh,new-delhi
2023 Hyundai VENUE, S 1.2,"30,571 km",Petrol,Manual,DL-3C,₹6.75 lakh,new-delhi
2019 MG HECTOR, SMART HYBRID 1.5 PETROL,"59,391 km",Petrol,Manual,DL-3C,₹8.13 lakh,new-delhi
2016 Renault Kwid, RXT 0.8,"51,969 km",Petrol,Manual,DL-8C,₹1.60 lakh,new-delhi
2023 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT,"31,918 km",CNG,Manual,DL-5C,₹5.65 lakh,new-delhi
2016 Ford Ecosport, TITANIUM 1.5L PETROL,"63,038 km",Petrol,Manual,DL-9C,₹4.00 lakh,new-delhi
2016 Hyundai Creta, SX PLUS 1.6 PETROL,"60,380 km",Petrol,Manual,DL-10,₹4.14 lakh,new-delhi
2024 Maruti Swift, VXI,"14,906 km",Petrol,Manual,DL-4C,₹5.77 lakh,new-delhi
2019 Tata NEXON, XM PETROL,"77,136 km",CNG,Manual,DL-8C,₹4.64 lakh,new-delhi
2022 Skoda Octavia, STYLE 2.0,"43,596 km",Petrol,Auto,DL-1C,₹18.24 lakh,new-delhi
2023 Maruti Alto, LXI O,"23,353 km",Petrol,Manual,DL-9C,₹2.96 lakh,new-delhi
2019 Maruti Celerio, VXI (O) CNG,"85,350 km",CNG,Manual,HR-26,₹3.29 lakh,new-delhi
2019 Maruti New Wagon-R, VXI (O) 1.2,"74,374 km",Petrol,Manual,HR-26,₹3.24 lakh,new-delhi
2022 Hyundai NEW SANTRO, SPORTZ EXECUTIVE MT CNG,"91,678 km",CNG,Manual,HR-36,₹3.82 lakh,new-delhi
2024 Maruti Ertiga,   VXI (O) CNG,"18,586 km",CNG,Manual,HR-14,₹9.39 lakh,new-delhi
2018 Datsun Go, REMIX EDITION,"1,00,023 km",Petrol,Manual,DL-3C,₹1.55 lakh,new-delhi
2024 Maruti Swift, VXi,"42,012 km",Petrol,Manual,HR-19,₹5.54 lakh,new-delhi
2023 Tata PUNCH, PURE MT CNG,"35,762 km",CNG,Manual,HR-26,₹5.80 lakh,new-delhi
2019 Honda Civic, 1.8L I-VTEC ZX CVT,"91,157 km",Petrol,Auto,DL-14,₹9.69 lakh,new-delhi
2023 Maruti Baleno, SIGMA PETROL 1.2,"47,454 km",Petrol,Manual,HR-98,₹4.80 lakh,new-delhi
